id	score
snR17a	40.37
snR17b	43.60
YAL001C	58.01
YAL003W	56.39
YAL030W	26.30
YBL018C	68.36
YBL026W	64.16
YBL027W	68.14
YBL040C	59.02
YBL050W	52.42
YBL059C-A	32.29
YBL059W	40.19
YBL072C	55.25
YBL087C	68.50
YBL091C-A	37.42
YBL092W	62.61
YBL111C	7.90
YBR048W	51.82
YBR062C	64.58
YBR078W	45.86
YBR082C	65.48
YBR084C-A	47.39
YBR089C-A	38.08
YBR090C	38.08
YBR111W-A	49.97
YBR111W-A	62.73
YBR119W	49.90
YBR181C	57.59
YBR186W	56.48
YBR189W	42.16
YBR191W	52.72
YBR215W	66.38
YBR219C	23.37
YBR230C	60.83
YBR255C-A	76.56
YCL002C	41.94
YCL005W-A	48.06
YCL005W-A	56.72
YCL012C	61.88
YCR028C-A	73.10
YCR031C	47.64
YCR097W	68.95
YCR097W	55.02
YDL012C	48.27
YDL029W	57.96
YDL061C	53.02
YDL064W	51.34
YDL075W	62.34
YDL079C	68.30
YDL082W	55.12
YDL083C	58.65
YDL108W	40.99
YDL115C	43.35
YDL125C	66.49
YDL130W	60.61
YDL136W	65.72
YDL137W	48.17
YDL189W	46.96
YDL191W	60.77
YDL219W	62.24
YDR005C	58.34
YDR025W	39.15
YDR059C	67.97
YDR064W	45.70
YDR092W	69.04
YDR099W	55.22
YDR129C	55.09
YDR139C	62.03
YDR305C	33.51
YDR318W	53.67
YDR367W	45.01
YDR381C-A	65.36
YDR381W	56.00
YDR397C	51.88
YDR424C	46.24
YDR424C	45.16
YDR447C	46.50
YDR450W	68.59
YDR471W	52.25
YDR500C	49.15
YDR535C	12.43
YEL003W	44.14
YEL012W	62.32
YEL076C-A	53.43
YER003C	54.33
YER007C-A	55.51
YER014C-A	0.79
YER044C-A	47.12
YER056C-A	57.32
YER074W	76.10
YER074W-A	51.64
YER074W-A	49.76
YER093C-A	65.93
YER102W	57.09
YER117W	55.35
YER131W	67.42
YER133W	65.82
YER179W	67.19
YFL031W	-44.66
YFL034C-A	47.52
YFL034C-B	50.06
YFL039C	47.49
YFR024C-A	63.65
YFR031C-A	32.70
YFR032C-A	63.09
YFR045W	36.36
YGL030W	17.87
YGL031C	49.46
YGL033W	-20.98
YGL076C	39.95
YGL076C	49.55
YGL087C	68.69
YGL103W	37.11
YGL137W	58.54
YGL178W	59.22
YGL183C	68.42
YGL187C	69.02
YGL189C	54.50
YGL226C-A	42.57
YGL232W	47.23
YGL251C	-31.26
YGR001C	39.99
YGR001C	63.17
YGR027C	53.51
YGR029W	45.82
YGR034W	47.69
YGR118W	66.53
YGR148C	37.15
YGR183C	55.15
YGR214W	54.54
YGR225W	32.45
YGR296W	40.72
YHL001W	59.15
YHL050C	42.89
YHR001W-A	32.00
YHR010W	50.64
YHR012W	50.52
YHR016C	65.36
YHR021C	65.40
YHR039C-A	59.30
YHR041C	48.61
YHR076W	59.55
YHR077C	61.76
YHR079C-A	77.83
YHR097C	47.68
YHR101C	53.52
YHR123W	48.97
YHR141C	57.18
YHR199C-A	34.54
YHR203C	47.28
YHR218W	7.90
YIL004C	51.31
YIL018W	68.76
YIL052C	57.05
YIL069C	59.44
YIL073C	16.63
YIL106W	62.31
YIL111W	45.89
YIL123W	41.43
YIL133C	48.48
YIL148W	32.56
YIL156W-B	38.39
YIL177C	53.43
YJL001W	60.22
YJL024C	60.29
YJL031C	49.69
YJL041W	67.52
YJL130C	51.91
YJL136C	53.11
YJL177W	53.86
YJL189W	47.00
YJL191W	38.87
YJL205C	63.96
YJL225C	53.43
YJR021C	12.19
YJR079W	30.13
